StationNumber,Longitude,Latitude,WaterDepth
21413,152.132,30.533,5880
21414,178.219,48.968,5368
21415,171.915,50.167,4855
21416,163.328,48.122,5831
21418,148.645,38.727,5766
21419,155.717,44.435,5282
23218,88.500,9.999,3350
23219,88.998,13.500,2938
23223,89.483,17.333,-1
23226,67.333,20.200,-1
23227,88.792,6.255,3793
23228,65.347,20.799,2611
23401,88.548,8.860,-1
23461,95.668,9.541,2500
32066,-81.765,-1.136,-1
32067,-81.262,0.641,2965.6
32401,-73.421,-20.474,4830
32402,-73.983,-26.743,4070
32411,-90.880,4.953,3284
32412,-86.374,-17.984,4364
32413,-93.517,-7.406,4018
32489,-79.101,2.998,2763
41420,-67.287,23.508,5743
41421,-64.112,23.380,5845
41424,-72.660,33.000,5250
42407,-68.217,15.252,4491
42409,-89.251,25.851,3200
43412,-106.967,16.045,3142
43413,-100.083,11.012,3741
44401,-50.030,37.592,5494
44402,-70.659,39.298,2649
46402,-164.071,51.020,4768
46403,-156.947,52.665,4537
46404,-128.733,45.853,2761
46407,-128.832,42.682,3323
46408,-169.900,49.662,5415
46409,-148.509,55.293,4244
46410,-143.798,57.650,3782
46411,-127.067,39.333,4319
46412,-120.563,32.492,3776
46413,-174.228,48.000,5618
46419,-129.619,48.796,2805
51407,-156.545,19.570,4771
51425,-176.320,-9.517,4921
51426,-168.385,-23.110,5608
52401,155.754,19.261,5574
52402,153.909,11.929,5886
52403,145.520,4.020,4474
52404,132.164,20.691,5915
52405,132.184,12.985,5895
52406,164.977,-5.307,1826
54401,-173.155,-33.109,5796
55012,158.453,-15.664,3254
55015,160.256,-46.830,5021
55023,153.537,-14.715,4595
55042,161.841,-44.898,4810
56001,109.944,-14.016,5664
56003,117.942,-15.023,5663
